N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	"[{""Label"": ""Prince Philip, Duke of Edinburgh"", ""Type"": ""P"", ""WikidataId"": ""Q80976"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Prince Philip""]}, {""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.97, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Queen Elizabeth""]}]"	[]
N5	sports	icehockey_nhl	Even David Pastrnak's slumps are superstar caliber for Bruins	Guess David Pastrnak isn't going to score 82 goals and accumulate 164 points this season. Or at least he's not on pace to do anymore. After scoring 15 goals and adding 15 assists through the Bruins' first 15 games, Pastrnak had gone two games without a point after he was blanked in Boston's 3-2 shootout loss to Philadelphia at TD Garden on Sunday. Oh the humanity! But here's where things stand in the 23-year-old sniper's career. Gone are the...	https://assets.msn.com/labs/mind/BBWzBi6.html	"[{""Label"": ""David Pastr\u0148\u00e1k"", ""Type"": ""P"", ""WikidataId"": ""Q16224594"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""David Pastrnak""]}, {""Label"": ""Boston Bruins"", ""Type"": ""O"", ""WikidataId"": ""Q194121"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [55], ""SurfaceForms"": [""Bruins""]}]"	"[{""Label"": ""David Pastr\u0148\u00e1k"", ""Type"": ""P"", ""WikidataId"": ""Q16224594"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [6, 215], ""SurfaceForms"": [""David Pastrnak"", ""Pastrnak""]}, {""Label"": ""Boston Bruins"", ""Type"": ""O"", ""WikidataId"": ""Q194121"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [191, 283], ""SurfaceForms"": [""Bruins"", ""Boston""]}, {""Label"": ""Guess (clothing)"", ""Type"": ""O"", ""WikidataId"": ""Q1500326"", ""Confidence"": 0.959, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Guess""]}, {""Label"": ""TD Garden"", ""Type"": ""S"", ""WikidataId"": ""Q432105"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [329], ""SurfaceForms"": [""TD Garden""]}, {""Label"": ""Philadelphia"", ""Type"": ""G"", ""WikidataId"": ""Q1345"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [313], ""SurfaceForms"": [""Philadelphia""]}]"
N20831	sports	soccer_mls	New buzz on possibility of Major League Soccer in Charlotte	"Charlotte appears to be in the driver's seat for Major League Soccer's 30th franchise. MLS Commissioner Don Garber mentioned Charlotte as one of three cities in the running at Friday's State of the League press conference. ""It is very likely that we'll announce [the] team 30 in the next number of months,"" Garber said. Garber acknowledged Charlotte, Phoenix and Las Vegas as cities in the mix for expansion. ""It's fair to say that Charlotte has..."	https://assets.msn.com/labs/mind/BBWzBjj.html	"[{""Label"": ""Major League Soccer"", ""Type"": ""O"", ""WikidataId"": ""Q18543"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [27], ""SurfaceForms"": [""Major League Soccer""]}]"	"[{""Label"": ""Major League Soccer"", ""Type"": ""O"", ""WikidataId"": ""Q18543"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [49, 198], ""SurfaceForms"": [""Major League Soccer"", ""League""]}, {""Label"": ""Don Garber"", ""Type"": ""P"", ""WikidataId"": ""Q4133583"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [104, 307, 320], ""SurfaceForms"": [""Don Garber"", ""Garber"", ""Garber""]}, {""Label"": ""Phoenix, Arizona"", ""Type"": ""G"", ""WikidataId"": ""Q16556"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [351], ""SurfaceForms"": [""Phoenix""]}, {""Label"": ""Las Vegas"", ""Type"": ""G"", ""WikidataId"": ""Q23768"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [363], ""SurfaceForms"": [""Las Vegas""]}]"
N5497	news	newsus	Still teaching at 95, Jimmy Carter draws devotees to church	PLAINS, Ga. (AP)   The pilgrims arrive early and from all over, gathering hours before daybreak in an old pecan grove that surrounds a country church. They come, they say, for a dose of simple decency and devotion wrapped up in a Bible lesson. The teacher is the 39th president of the United States, Jimmy Carter. Nearly four decades after he left office and despite a body that's failing after 95 years, the nation's oldest-ever ex-president still...	https://assets.msn.com/labs/mind/BBWzBrF.html	"[{""Label"": ""Jimmy Carter"", ""Type"": ""P"", ""WikidataId"": ""Q23685"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [22], ""SurfaceForms"": [""Jimmy Carter""]}]"	"[{""Label"": ""Jimmy Carter"", ""Type"": ""P"", ""WikidataId"": ""Q23685"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [263, 300], ""SurfaceForms"": [""39th president of the United States"", ""Jimmy Carter""]}, {""Label"": ""Plains, Georgia"", ""Type"": ""G"", ""WikidataId"": ""Q608527"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""PLAINS""]}, {""Label"": ""Associated Press"", ""Type"": ""O"", ""WikidataId"": ""Q40469"", ""Confidence"": 0.91, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""AP""]}, {""Label"": ""Georgia (U.S. state)"", ""Type"": ""G"", ""WikidataId"": ""Q1428"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Ga""]}, {""Label"": ""Bible"", ""Type"": ""U"", ""WikidataId"": ""Q1845"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [230], ""SurfaceForms"": [""Bible""]}]"
N13019	video	lifestyle	Still teaching at 95, Jimmy Carter draws devotees to church	Former President Jimmy Carter can still draw a crowd, and he does each time he teaches Sunday school in his hometown of Plains, Georgia. (Nov. 11)	https://assets.msn.com/labs/mind/BBWzBzk.html	"[{""Label"": ""Jimmy Carter"", ""Type"": ""P"", ""WikidataId"": ""Q23685"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [22], ""SurfaceForms"": [""Jimmy Carter""]}]"	"[{""Label"": ""Jimmy Carter"", ""Type"": ""P"", ""WikidataId"": ""Q23685"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""Jimmy Carter""]}, {""Label"": ""Plains, Georgia"", ""Type"": ""G"", ""WikidataId"": ""Q608527"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [120], ""SurfaceForms"": [""Plains""]}, {""Label"": ""Georgia (U.S. state)"", ""Type"": ""G"", ""WikidataId"": ""Q1428"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [128], ""SurfaceForms"": [""Georgia""]}]"
N6379	news	newscrime	California cops respond to 2 homeless men shot with arrows: report	Two homeless men living at an encampment near San Francisco were shot with arrows early Sunday in an attack that was not random, a report said.	https://assets.msn.com/labs/mind/BBWzCZq.html	"[{""Label"": ""California"", ""Type"": ""G"", ""WikidataId"": ""Q99"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""California""]}]"	"[{""Label"": ""San Francisco"", ""Type"": ""G"", ""WikidataId"": ""Q62"", ""Confidence"": 0.987, ""OccurrenceOffsets"": [46], ""SurfaceForms"": [""San Francisco""]}]"
N10311	news	newsworld	Turkish army takes CNN inside Syria's safe zone	A month after Turkey launched its operation into northern Syria, major combat operations around the town of Tal Abyad may have ended, but the battle for this part of Syria is far from over. CNN's Jomana Karadsheh reports.	https://assets.msn.com/labs/mind/BBWzCnN.html	"[{""Label"": ""Syria"", ""Type"": ""G"", ""WikidataId"": ""Q858"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""Syria""]}, {""Label"": ""CNN"", ""Type"": ""M"", ""WikidataId"": ""Q48340"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""CNN""]}, {""Label"": ""Turkish Land Forces"", ""Type"": ""O"", ""WikidataId"": ""Q1954282"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Turkish army""]}]"	"[{""Label"": ""Syria"", ""Type"": ""G"", ""WikidataId"": ""Q858"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [58, 166], ""SurfaceForms"": [""Syria"", ""Syria""]}, {""Label"": ""Tell Abyad"", ""Type"": ""G"", ""WikidataId"": ""Q1896205"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [108], ""SurfaceForms"": [""Tal Abyad""]}, {""Label"": ""CNN"", ""Type"": ""M"", ""WikidataId"": ""Q48340"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [190], ""SurfaceForms"": [""CNN""]}, {""Label"": ""Turkey"", ""Type"": ""G"", ""WikidataId"": ""Q43"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""Turkey""]}]"
N5027	news	newsscienceandtechnology	NEW DETAILS: Wright Brothers airport eyes growth as upgrades continue	Dayton-Wright Brothers Airport is in the midst of what is expected be more than $4 million in investments as it broadens its regional reach.	https://assets.msn.com/labs/mind/BBWzD00.html	"[{""Label"": ""Dayton\u2013Wright Brothers Airport"", ""Type"": ""F"", ""WikidataId"": ""Q1708105"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Wright Brothers airport""]}]"	"[{""Label"": ""Dayton\u2013Wright Brothers Airport"", ""Type"": ""F"", ""WikidataId"": ""Q1708105"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Dayton-Wright Brothers Airport""]}]"
N64760	news	newsoffbeat	Supermarket magnate John Catsimatidis offers $1,000 reward in case of possible Queens cat poisonings	It might take Cats to catch a heartless feline killer. Supermarket mogul and one-time mayoral hopeful John Catsimatidis is offering a $1,000 reward for information on a suspected cat killer who animal rights activists believe is poisoning feral felines in Queens. Catsimatidis announced the reward on his Cats Roundtable radio show Sunday morning during a segment with Guardian Angels ...	https://assets.msn.com/labs/mind/BBWzD8P.html	"[{""Label"": ""Queens"", ""Type"": ""G"", ""WikidataId"": ""Q18424"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [79], ""SurfaceForms"": [""Queens""]}]"	"[{""Label"": ""Guardian Angels"", ""Type"": ""O"", ""WikidataId"": ""Q614136"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [369], ""SurfaceForms"": [""Guardian Angels""]}, {""Label"": ""Queens"", ""Type"": ""G"", ""WikidataId"": ""Q18424"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [256], ""SurfaceForms"": [""Queens""]}]"
N43432	news	newsus	US Forest Service shuts down vandalized Georgia park feature	GAINESVILLE, Ga. (AP)   The U.S. Forest Service says vandalism is forcing it to shut down a popular fall leaf viewing destination in Georgia. The agency posted photos to Facebook on Friday showing a wooden platform covered in white spray paint overlooking the mountainous north Georgia landscape at Chattahoochee-Oconee National Forests.	https://assets.msn.com/labs/mind/BBWzDfU.html	"[{""Label"": ""Georgia (U.S. state)"", ""Type"": ""G"", ""WikidataId"": ""Q1428"", ""Confidence"": 0.926, ""OccurrenceOffsets"": [40], ""SurfaceForms"": [""Georgia""]}, {""Label"": ""United States Forest Service"", ""Type"": ""O"", ""WikidataId"": ""Q1891156"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""US Forest Service""]}]"	"[{""Label"": ""Georgia (U.S. state)"", ""Type"": ""G"", ""WikidataId"": ""Q1428"", ""Confidence"": 0.926, ""OccurrenceOffsets"": [13, 133, 278], ""SurfaceForms"": [""Ga"", ""Georgia"", ""Georgia""]}, {""Label"": ""Gainesville, Georgia"", ""Type"": ""G"", ""WikidataId"": ""Q651051"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""GAINESVILLE""]}, {""Label"": ""United States Forest Service"", ""Type"": ""O"", ""WikidataId"": ""Q1891156"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Forest Service""]}, {""Label"": ""Chattahoochee\u2013Oconee National Forest"", ""Type"": ""N"", ""WikidataId"": ""Q1068278"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [299], ""SurfaceForms"": [""Chattahoochee-Oconee National Forests""]}, {""Label"": ""Facebook"", ""Type"": ""O"", ""WikidataId"": ""Q355"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [170], ""SurfaceForms"": [""Facebook""]}, {""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.982, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""The U.S.""]}]"
N17258	news	newsscienceandtechnology	Realme takes chunk of India mobile market as Samsung slides	Over 400 percent more phones shipped year-on-year	https://assets.msn.com/labs/mind/BBWzDfx.html	"[{""Label"": ""Realme"", ""Type"": ""N"", ""WikidataId"": ""Q56275466"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Realme""]}, {""Label"": ""Samsung"", ""Type"": ""O"", ""WikidataId"": ""Q20716"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [45], ""SurfaceForms"": [""Samsung""]}, {""Label"": ""India"", ""Type"": ""G"", ""WikidataId"": ""Q668"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [22], ""SurfaceForms"": [""India""]}]"	[]
N23858	sports	golf	Young Northeast Florida fans flock to U.S. women's soccer	When the U.S. women's national soccer team arrived in Jacksonville for a final exhibition match to conclude their 2019 Victory Tour at TIAA Bank Field against Costa Rica Sunday night, area fans were waiting for them. Although the suspense was low, since the U.S. women's national team has put up an impressive 14-0-0 all-time record against Costa Rica, soccer fans from far and wide showed out to ...	https://assets.msn.com/labs/mind/BBWzQB8.html	"[{""Label"": ""First Coast"", ""Type"": ""G"", ""WikidataId"": ""Q21855507"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [6], ""SurfaceForms"": [""Northeast Florida""]}, {""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.965, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""U.S.""]}]"	"[{""Label"": ""United States women's national soccer team"", ""Type"": ""O"", ""WikidataId"": ""Q334526"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [9, 258], ""SurfaceForms"": [""U.S. women's national soccer team"", ""U.S. women's national team""]}, {""Label"": ""TIAA Bank Field"", ""Type"": ""N"", ""WikidataId"": ""Q635117"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [135], ""SurfaceForms"": [""TIAA Bank Field""]}, {""Label"": ""Jacksonville, Florida"", ""Type"": ""G"", ""WikidataId"": ""Q16568"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [54], ""SurfaceForms"": [""Jacksonville""]}, {""Label"": ""Costa Rica"", ""Type"": ""G"", ""WikidataId"": ""Q800"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [159, 341], ""SurfaceForms"": [""Costa Rica"", ""Costa Rica""]}]"
N16909	weather	weathertopstories	Adapting, Learning And Soul Searching: Reflecting On Woolsey Fire	Woolsey Fire Anniversary: A community is forever changed by the largest blaze in county history, a harbinger of the catastrophic fire era.	https://assets.msn.com/labs/mind/BBWzQJK.html	"[{""Label"": ""Woolsey Fire"", ""Type"": ""N"", ""WikidataId"": ""Q58445227"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [53], ""SurfaceForms"": [""Woolsey Fire""]}]"	"[{""Label"": ""Woolsey Fire"", ""Type"": ""N"", ""WikidataId"": ""Q58445227"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Woolsey Fire""]}]"
N47585	lifestyle	lifestylefamily	Family says 13-year-old Broadway star died from massive asthma attack		https://assets.msn.com/labs/mind/BBWzQYV.html	"[{""Label"": ""Broadway theatre"", ""Type"": ""F"", ""WikidataId"": ""Q235065"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""Broadway""]}]"	[]
N7482	sports	more_sports	St. Dominic soccer player tries to kick cancer to the curb	"Sometimes, what happens on the sidelines can be even more important than what happens on the field. That was the case recently for the improving St. Dominic boys soccer team. ""We're led by some great seniors and they're learning a lot,"" said head soccer coach Greg Koeller. Since 2000, the Crusaders have won five state titles. And if that wasn't enough motivation, they have players who provide inspiration. Like No. 2, Clay North. ""Clay is just an..."	https://assets.msn.com/labs/mind/BBWzQnK.html	[]	[]
N34418	sports	soccer_epl	How the Sounders won MLS Cup	Mark, Jeremiah and Casey were so excited they did a postgame podcast.	https://assets.msn.com/labs/mind/BBWzQuK.html	"[{""Label"": ""MLS Cup"", ""Type"": ""U"", ""WikidataId"": ""Q577698"", ""Confidence"": 0.963, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""MLS Cup""]}, {""Label"": ""Seattle Sounders FC"", ""Type"": ""O"", ""WikidataId"": ""Q632511"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Sounders""]}]"	[]
N44276	autos	autossports	Best Sports Car Deals for October		https://assets.msn.com/labs/mind/BBy5rVe.html	"[{""Label"": ""Peugeot RCZ"", ""Type"": ""V"", ""WikidataId"": ""Q1357550"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Best Sports Car""]}]"	[]
